0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:48 +0530] "GET /medicare/cart/checkout?execution=e1s2 HTTP/1.1" 200 5958
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:50 +0530] "GET /medicare/cart/checkout?execution=e1s2&_eventId_pay HTTP/1.1" 200 5619
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:13:59 +0530] "GET /medicare/cart/checkout?execution=e1s2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:13:59 +0530] "GET /medicare/cart/checkout HTTP/1.1" 200 2455
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:14:00 +0530] "GET /medicare/cart/checkout?execution=e1s1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:14:00 +0530] "GET /medicare/cart/checkout HTTP/1.1" 200 2455
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:14:01 +0530] "GET /medicare/cart/show?result=added HTTP/1.1" 200 6134
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:14:17 +0530] "GET /medicare/cart/show HTTP/1.1" 200 5996
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:15:07 +0530] "GET /medicare/cart/show?result=added HTTP/1.1" 200 6134
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:15:14 +0530] "GET /medicare/show/all/products HTTP/1.1" 200 7546
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:15:14 +0530] "GET /medicare/json/data/all/products?_=1660977914253 HTTP/1.1" 200 1258
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:15:17 +0530] "GET /medicare/ HTTP/1.1" 200 11066
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:15:17 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:15:17 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1033
