127.0.0.1 - - [19/Aug/2022:13:09:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:10:06 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:10:06 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:10:06 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:10:06 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:10:07 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:10:07 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:10:07 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:10:07 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:10:07 +0530] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:10:08 +0530] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:10:14 +0530] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:10:14 +0530] "GET /medicare/ HTTP/1.1" 200 11066
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:10:14 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:10:14 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:07 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:08 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:08 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:08 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:09 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:09 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:09 +0530] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:09 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:09 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:09 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:10 +0530] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:20 +0530] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:21 +0530] "GET /medicare/ HTTP/1.1" 200 11066
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:21 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:21 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:22 +0530] "GET /medicare/show/all/products HTTP/1.1" 200 7546
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:23 +0530] "GET /medicare/json/data/all/products?_=1660895003095 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:23 +0530] "GET /medicare/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 200 28457
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:25 +0530] "GET /medicare/cart/add/1/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:25 +0530] "GET /medicare/cart/show?result=added HTTP/1.1" 200 8244
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:14:25 +0530] "GET /medicare/resources/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:15:34 +0530] "GET /medicare/resources/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:21:31 +0530] "GET /medicare/show/all/products HTTP/1.1" 200 7547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:21:32 +0530] "GET /medicare/resources/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:21:32 +0530] "GET /medicare/json/data/all/products?_=1660895492212 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:23:38 +0530] "GET /medicare/cart/add/2/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:23:38 +0530] "GET /medicare/cart/show?result=added HTTP/1.1" 200 9387
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:23:50 +0530] "GET /medicare/cart/add/2/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:23:50 +0530] "GET /medicare/cart/show?result=updated HTTP/1.1" 200 9374
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:23:57 +0530] "GET /medicare/cart/add/2/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:23:57 +0530] "GET /medicare/cart/show?result=updated HTTP/1.1" 200 9374
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:24:16 +0530] "GET /medicare/cart/add/2/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:24:16 +0530] "GET /medicare/cart/show?result=maximum HTTP/1.1" 200 9383
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:27:58 +0530] "GET /medicare/cart/add/2/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:27:58 +0530] "GET /medicare/cart/show?result=maximum HTTP/1.1" 200 9383
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:27:59 +0530] "GET /medicare/resources/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:15 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:16 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:17 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:17 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:17 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:17 +0530] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:17 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:17 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:17 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:18 +0530] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:24 +0530] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:24 +0530] "GET /medicare/ HTTP/1.1" 200 11067
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:25 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:25 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:26 +0530] "GET /medicare/show/all/products HTTP/1.1" 200 7547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:26 +0530] "GET /medicare/json/data/all/products?_=1660898546357 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:26 +0530] "GET /medicare/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 200 28457
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:27 +0530] "GET /medicare/cart/add/1/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:27 +0530] "GET /medicare/cart/show?result=updated HTTP/1.1" 200 9377
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:29 +0530] "GET /medicare/cart/validate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:31 +0530] "GET /medicare/cart/checkout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:35 +0530] "GET /medicare/cart/checkout?execution=e1s1 HTTP/1.1" 200 6299
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:12:54 +0530] "GET /medicare/cart/show?result=updated HTTP/1.1" 200 9377
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:43 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:44 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:44 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:44 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:44 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:45 +0530] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:45 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:45 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:45 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:45 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:45 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:46 +0530] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:52 +0530] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:52 +0530] "GET /medicare/ HTTP/1.1" 200 11068
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:52 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:52 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:54 +0530] "GET /medicare/show/all/products HTTP/1.1" 200 7548
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:54 +0530] "GET /medicare/json/data/all/products?_=1660898934242 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:54 +0530] "GET /medicare/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 200 28457
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:55 +0530] "GET /medicare/cart/add/1/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:18:55 +0530] "GET /medicare/cart/show?result=updated HTTP/1.1" 200 9377
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:32 +0530] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:32 +0530] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:32 +0530] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:32 +0530] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:32 +0530] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:32 +0530] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:32 +0530] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:32 +0530] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:32 +0530] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:33 +0530] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:33 +0530] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:33 +0530] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:33 +0530] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:33 +0530] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:33 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:33 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:33 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:33 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:33 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:33 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:33 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:33 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:33 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [19/Aug/2022:14:21:33 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
